Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,30.601900,30.787001,30.352800,30.601900,23.288113,5277600
2015-04-30,30.466700,31.214001,30.388399,31.107201,23.672649,6001867
2015-05-01,30.950600,31.149900,30.787001,31.057400,23.634752,2735742
2015-05-04,31.228201,31.683701,31.206900,31.527100,23.992191,3006971
2015-05-05,31.811800,31.890100,31.512899,31.726400,24.143860,3051762
2015-05-06,31.342100,31.683701,31.270901,31.562700,24.019283,4589203
2015-05-07,31.313601,31.491501,30.972000,31.171301,23.721428,5424875
2015-05-08,31.135700,31.285101,31.107201,31.128599,23.688932,3287222
2015-05-11,31.142799,31.199699,30.715799,30.851000,23.477680,5808573
2015-05-12,30.829700,31.093000,30.673100,30.957800,23.558952,2508310
2015-05-13,31.214001,31.598301,31.114300,31.420401,23.910994,2827122
2015-05-14,31.363400,31.719299,31.199699,31.719299,24.138458,2916948
2015-05-15,31.954100,32.025299,31.854500,32.003899,24.355038,2560682
2015-05-18,32.003899,32.025299,31.633900,31.669399,24.100483,2303189
2015-05-19,31.584000,31.591200,31.021799,31.107201,23.672649,4507483
2015-05-20,31.107201,31.107201,30.630400,30.907900,23.520983,3276826
2015-05-21,30.907900,31.100100,30.690901,30.858101,23.483084,3464267
2015-05-22,31.000500,31.199699,30.651800,30.836800,23.466873,2197622
2015-05-25,31.149900,31.356300,31.071600,31.242399,23.775536,2236743
2015-05-26,31.313601,31.512899,31.306499,31.370501,23.873022,1666936
2015-05-27,31.313601,31.334999,30.787001,30.886600,23.504772,3467142
2015-05-28,31.085899,31.121500,30.722900,31.028900,23.613062,2643421
2015-05-29,31.285101,31.413200,30.964899,31.071600,23.645559,6812803
2015-06-01,30.993299,31.050301,30.274599,30.552099,23.250214,2896804
2015-06-02,30.779900,30.779900,30.160700,30.160700,22.952360,2310199
2015-06-03,29.954300,30.118000,29.783501,29.975700,22.811575,2936289
2015-06-04,30.160700,30.174900,29.392099,29.498800,22.448654,3555593
2015-06-05,29.612700,30.011200,29.577101,29.762199,22.649099,2084418
2015-06-09,29.662500,29.762199,29.221300,29.377899,22.356644,3487723
2015-06-10,29.185699,29.705200,29.114500,29.570000,22.502834,2344312
2015-06-11,29.676800,29.847601,29.363600,29.477501,22.432444,3282049
2015-06-12,29.406300,29.559299,29.349400,29.399200,22.372854,1901867
2015-06-15,29.178600,29.385000,29.093201,29.256901,22.264565,2887879
2015-06-16,29.392099,29.641199,29.100300,29.406300,22.378260,3077347
2015-06-17,29.406300,29.477501,29.249800,29.463301,22.421638,4778878
2015-06-18,29.377899,29.392099,28.495399,28.609200,21.771662,9117407
2015-06-19,28.716000,28.965099,28.502501,28.609200,21.771662,5903159
2015-06-22,28.609200,28.751600,28.402901,28.659100,21.809639,2789488
2015-06-23,29.036200,29.107401,28.630600,28.808500,21.923334,4022154
2015-06-24,28.822800,28.950800,28.680401,28.787201,21.907124,4300130
2015-06-25,28.787201,28.872601,28.402901,28.402901,21.614670,5460663
2015-06-26,28.167999,28.338800,27.776600,28.096800,21.381727,7723731
2015-06-29,27.897600,27.911800,27.491899,27.548901,20.964777,3040456
2015-06-30,27.470600,27.876200,27.363800,27.776600,21.138054,4069510
2015-07-01,27.698299,28.153799,27.655600,27.933201,21.257229,2716571
2015-07-02,28.225000,28.502501,28.004299,28.438400,21.641684,3419700
2015-07-03,28.723101,28.737400,28.153799,28.289000,21.527992,3375264
2015-07-06,28.004299,28.239201,27.769501,28.047001,21.343832,2096483
2015-07-07,28.388599,28.737400,28.353100,28.716000,21.852938,3239540
2015-07-08,28.644800,28.680401,28.153799,28.267700,21.511784,3513197
2015-07-09,28.438400,28.541599,27.954500,28.402901,21.614670,3489832
2015-07-10,28.559401,28.730200,28.139500,28.381500,21.598387,2705761
2015-07-13,28.367300,28.474001,28.153799,28.232100,21.484690,2777566
2015-07-14,28.538099,28.958000,28.474001,28.858299,21.961229,3231795
2015-07-15,29.143000,29.605600,29.071800,29.591400,22.519119,3422751
2015-07-16,29.740801,29.961399,29.534401,29.705200,22.605724,3051142
2015-07-17,29.868900,29.868900,29.605600,29.712299,22.611124,1633824
2015-07-20,29.854700,29.854700,29.698099,29.833300,22.703205,1233665
2015-07-21,29.997000,30.139400,29.918699,30.046801,22.865685,2407366
2015-07-22,29.890301,30.025499,29.548700,29.662500,22.573231,2632635
2015-07-23,29.705200,29.826200,29.570000,29.605600,22.529924,1630553
2015-07-24,29.463301,29.605600,29.178600,29.392099,22.367453,2462811
2015-07-27,29.320900,29.477501,29.192801,29.406300,22.378260,1530973
2015-07-28,29.178600,29.626900,29.178600,29.448999,22.410753,2179947
2015-07-29,29.819099,29.897400,29.669600,29.669600,22.578632,2426449
2015-07-30,29.989901,30.167801,29.897400,30.132200,22.930672,1889600
2015-07-31,30.310200,30.310200,29.975700,30.210501,22.990257,6143844
2015-08-03,30.103800,30.182100,29.904499,30.182100,22.968641,1818024
2015-08-04,30.545000,30.858101,30.516500,30.651800,23.326086,3470954
2015-08-05,30.601900,30.601900,30.174900,30.445400,23.169018,2430095
2015-08-06,30.281700,30.395500,30.018400,30.231899,23.006544,2508737
2015-08-07,29.890301,30.167801,29.826200,29.840401,22.708611,2507915
2015-08-10,29.570000,29.819099,29.363600,29.484600,22.437845,4518708
2015-08-11,29.747900,29.833300,29.399200,29.570000,22.502834,2944024
2015-08-12,29.463301,29.833300,29.000700,29.214199,22.232071,3545517
2015-08-13,29.178600,29.385000,29.036200,29.071800,22.123705,2080060
2015-08-14,29.114500,29.178600,28.680401,28.737400,21.869226,3303335
2015-08-17,28.744499,28.844101,28.360201,28.360201,21.582176,4502425
2015-08-18,28.459801,28.659100,28.118200,28.225000,21.479288,2958281
2015-08-19,28.716000,28.915300,28.509600,28.737400,21.869226,2827891
2015-08-20,29.178600,29.320900,28.822800,29.079000,22.129185,4810398
2015-08-21,28.965099,29.079000,28.794300,29.043400,22.102091,6484808
2015-08-24,29.036200,29.057600,28.267700,28.502501,21.690466,8601782
2015-08-25,27.534599,28.488300,27.470600,28.410000,22.496162,9578706
2015-08-26,28.054100,28.694700,27.904699,28.580799,22.631407,5512429
2015-08-27,29.178600,29.385000,29.036200,29.199900,23.121635,5515020
2015-08-28,29.392099,29.662500,29.199900,29.498800,23.358318,5467283
2015-08-31,29.121700,29.313801,28.687500,28.936600,22.913143,3626023
2015-09-01,29.014900,29.093201,28.424200,28.466900,22.541218,3862453
2015-09-02,28.452700,28.495399,27.968700,28.289000,22.400351,4342050
2015-09-03,28.680401,28.780100,28.025700,28.061300,22.220049,3846878
2015-09-04,28.132401,28.239201,27.933201,28.061300,22.220049,4976553
2015-09-07,28.153799,28.189400,27.655600,28.032801,22.197485,3931263
2015-09-08,28.253401,28.395800,27.897600,28.317499,22.422916,4006817
2015-09-09,28.531000,28.730200,28.210699,28.573700,22.625788,4688271
2015-09-10,28.239201,28.289000,27.983000,28.054100,22.214348,4023321
2015-09-11,28.039900,28.210699,27.797899,27.890499,22.084801,2421393
